prompt,predicted_fom,composition.Co,composition.Sb,composition.In,composition.Sr,composition.As,site_allocation.In,site_allocation.Sr,site_allocation.As,composition.Tl,composition.Hf,site_allocation.Tl,site_allocation.Hf,composition.Pb,composition.Ce,site_allocation.Pb,site_allocation.Ce,composition.Li,composition.Mg,site_allocation.Li,site_allocation.Mg,composition.Cu,composition.Zr,site_allocation.Cu,site_allocation.Zr,composition.Na,site_allocation.Na,composition.Yb,site_allocation.Yb,composition.Ca,site_allocation.Ca,composition.Si,site_allocation.Si,composition.Pd,site_allocation.Pd,composition.Mo,site_allocation.Mo,composition.Ba,site_allocation.Ba,composition.Mn,site_allocation.Mn,composition.Dy,composition.Pr,site_allocation.Dy,site_allocation.Pr,composition.Cl,site_allocation.Cl,composition.O,site_allocation.O,composition.Sm,composition.S,site_allocation.Sm,site_allocation.S,composition.C,site_allocation.C,composition.F,site_allocation.F,composition.La,site_allocation.La,composition.Eu,composition.Zn,site_allocation.Eu,site_allocation.Zn,composition.Al,site_allocation.Al,composition.Gd,site_allocation.Gd,composition.Ni,composition.Ga,site_allocation.Ni,site_allocation.Ga,composition.Sn,site_allocation.Sn,composition.W,site_allocation.W,composition.Nd,site_allocation.Nd,composition.Mm,site_allocation.Mm,composition.Y,site_allocation.Y,composition.Te,site_allocation.Te,composition.Ag,site_allocation.Ag,composition.G,site_allocation.G,composition.Fe,site_allocation.Fe,composition.Bi,site_allocation.Bi
"Composition: {'Co': 1, 'Sb': 3, 'Tl': 0.171875, 'Cu': 0.015625, 'Mg': 0.03125}, Temperature: 465K",1.018188238143921,1,3,,,,,,,0.171875,,"['E', 'D', 'O', 'L', 'J', 'K', 'P', 'F', 'I', 'G', 'C']",,,,,,,0.03125,,"['A', 'B']",0.015625,,['H'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Ca': 0.078125, 'In': 0.046875}, Temperature: 618K",1.0198484659194946,1,3,0.046875,,,"['J', 'P', 'G']",,,,,,,,,,,,,,,,,,,,,,,0.078125,"['H', 'N', 'B', 'I', 'F']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Si': 0.171875, 'Mg': 0.015625, 'In': 0.03125}, Temperature: 377K",1.0588747262954712,1,3,0.03125,,,"['K', 'D']",,,,,,,,,,,,0.015625,,['M'],,,,,,,,,,,0.171875,"['I', 'H', 'P', 'G', 'N', 'E', 'F', 'O', 'J', 'B', 'A']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Pd': 0.125, 'Tl': 0.046875}, Temperature: 499K",1.0323214530944824,1,3,,,,,,,0.046875,,"['B', 'L', 'E']",,,,,,,,,,,,,,,,,,,,,,0.125,"['A', 'D', 'C', 'O', 'P', 'G', 'M', 'F']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Ce': 0.171875, 'In': 0.03125}, Temperature: 534K",1.67616868019104,1,3,0.03125,,,"['O', 'B']",,,,,,,,0.171875,,"['A', 'L', 'C', 'P', 'E', 'K', 'M', 'G', 'H', 'F', 'I']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Mo': 0.15625, 'In': 0.078125}, Temperature: 538K",1.1438400745391846,1,3,0.078125,,,"['F', 'H', 'J', 'G', 'N']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15625,"['K', 'I', 'B', 'A', 'C', 'O', 'M', 'P', 'L', 'E']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'In': 0.0625}, Temperature: 700K",1.0145705938339233,1,3,0.0625,,,"['C', 'P', 'N', 'K']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Sr': 0.046875, 'Ca': 0.1875, 'In': 0.015625}, Temperature: 616K",1.0251502990722656,1,3,0.015625,0.046875,,['A'],"['D', 'K', 'N']",,,,,,,,,,,,,,,,,,,,,,0.1875,"['L', 'G', 'O', 'C', 'P', 'H', 'E', 'M', 'I', 'J', 'B', 'F']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Pb': 0.078125, 'Hf': 0.078125}, Temperature: 376K",1.164149284362793,1,3,,,,,,,,0.078125,,"['K', 'M', 'F', 'N', 'C']",0.078125,,"['P', 'J', 'L', 'B', 'H']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Ba': 0.03125, 'Yb': 0.015625}, Temperature: 376K",1.005900502204895,1,3,,,,,,,,,,,,,,,,,,,,,,,,,0.015625,['C'],,,,,,,,,0.03125,"['P', 'M']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Mn': 0.125, 'In': 0.109375}, Temperature: 589K",1.0470387935638428,1,3,0.109375,,,"['D', 'L', 'O', 'E', 'B', 'J', 'H']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,"['A', 'F', 'P', 'N', 'G', 'M', 'C', 'K']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Dy': 0.078125, 'Li': 0.078125, 'Pr': 0.046875}, Temperature: 366K",1.223821759223938,1,3,,,,,,,,,,,,,,,0.078125,,"['E', 'A', 'L', 'J', 'B']",,,,,,,,,,,,,,,,,,,,,,0.078125,0.046875,"['M', 'D', 'C', 'I', 'O']","['P', 'K', 'F']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Yb': 0.1875, 'Si': 0.03125, 'Cl': 0.03125}, Temperature: 466K",1.073068380355835,1,3,,,,,,,,,,,,,,,,,,,,,,,,,0.1875,"['J', 'L', 'E', 'G', 'O', 'B', 'D', 'H', 'K', 'P', 'I', 'A']",,,0.03125,"['N', 'C']",,,,,,,,,,,,,0.03125,"['M', 'F']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Hf': 0.15625, 'Tl': 0.0625, 'O': 0.03125}, Temperature: 347K",1.0759902000427246,1,3,,,,,,,0.0625,0.15625,"['H', 'C', 'O', 'E']","['J', 'A', 'I', 'D', 'P', 'L', 'K', 'B', 'N', 'F']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03125,"['G', 'M']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Sm': 0.015625, 'S': 0.203125, 'Ba': 0.03125}, Temperature: 791K",1.1792056560516357,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03125,"['M', 'H']",,,,,,,,,,,0.015625,0.203125,['F'],"['K', 'L', 'N', 'D', 'B', 'G', 'J', 'P', 'A', 'C', 'I', 'O', 'E']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'C': 0.03125, 'Tl': 0.203125, 'Ba': 0.015625}, Temperature: 760K",1.0242085456848145,1,3,,,,,,,0.203125,,"['H', 'A', 'J', 'I', 'E', 'L', 'N', 'D', 'K', 'C', 'G', 'F', 'M']",,,,,,,,,,,,,,,,,,,,,,,,,,0.015625,['O'],,,,,,,,,,,,,,,0.03125,"['P', 'B']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Mo': 0.0625, 'F': 0.140625, 'Ba': 0.03125}, Temperature: 744K",1.1318202018737793,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,"['M', 'E', 'F', 'G']",0.03125,"['L', 'J']",,,,,,,,,,,,,,,,,0.140625,"['C', 'A', 'H', 'O', 'N', 'P', 'K', 'B', 'D']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'La': 0.140625, 'In': 0.015625, 'Ce': 0.046875}, Temperature: 558K",1.5988242626190186,1,3,0.015625,,,['I'],,,,,,,,0.046875,,"['H', 'K', 'P']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.140625,"['A', 'E', 'F', 'D', 'B', 'O', 'G', 'J', 'N']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Eu': 0.1875, 'Zn': 0.03125, 'Ba': 0.03125}, Temperature: 504K",1.0222102403640747,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03125,"['M', 'E']",,,,,,,,,,,,,,,,,,,,,0.1875,0.03125,"['C', 'G', 'F', 'A', 'L', 'K', 'J', 'D', 'P', 'B', 'I', 'O']","['N', 'H']",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Ba': 0.140625, 'Al': 0.03125}, Temperature: 706K",1.0833557844161987,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.140625,"['I', 'A', 'C', 'D', 'H', 'G', 'J', 'M', 'O']",,,,,,,,,,,,,,,,,,,,,,,,,0.03125,"['F', 'K']",,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Pb': 0.078125, 'Gd': 0.078125, 'Zn': 0.078125}, Temperature: 666K",1.049444556236267,1,3,,,,,,,,,,,0.078125,,"['L', 'A', 'E', 'C', 'K']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.078125,,"['O', 'G', 'J', 'I', 'F']",,,0.078125,"['M', 'H', 'B', 'N', 'D']",,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Ce': 0.171875, 'Cu': 0.015625, 'Tl': 0.046875}, Temperature: 426K",1.1227487325668335,1,3,,,,,,,0.046875,,"['N', 'D', 'J']",,,0.171875,,"['M', 'L', 'P', 'G', 'E', 'H', 'O', 'B', 'A', 'I', 'K']",,,,,0.015625,,['F'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Tl': 0.140625, 'Ce': 0.046875}, Temperature: 583K",1.168681025505066,1,3,,,,,,,0.140625,,"['J', 'H', 'D', 'E', 'B', 'P', 'G', 'I', 'L']",,,0.046875,,"['A', 'F', 'N']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Ni': 0.078125, 'Ga': 0.0625, 'Ba': 0.03125}, Temperature: 583K",1.0316236019134521,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03125,"['J', 'P']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.078125,0.0625,"['H', 'I', 'E', 'C', 'A']","['D', 'O', 'L', 'N']",,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Dy': 0.140625, 'Ba': 0.046875, 'Mo': 0.0625}, Temperature: 605K",1.07521653175354,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,"['L', 'B', 'A', 'K']",0.046875,"['I', 'D', 'J']",,,0.140625,,"['N', 'P', 'E', 'C', 'F', 'G', 'O', 'M', 'H']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Ba': 0.03125, 'Sn': 0.0625, 'Eu': 0.140625}, Temperature: 653K",1.0303369760513306,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03125,"['B', 'K']",,,,,,,,,,,,,,,,,,,,,0.140625,,"['J', 'M', 'C', 'P', 'G', 'E', 'H', 'A', 'I']",,,,,,,,,,0.0625,"['O', 'L', 'F', 'D']",,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Zn': 0.09375, 'Ba': 0.125, 'Si': 0.03125}, Temperature: 447K",1.1405227184295654,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03125,"['J', 'A']",,,,,0.125,"['O', 'L', 'P', 'G', 'H', 'M', 'F', 'E']",,,,,,,,,,,,,,,,,,,,,,0.09375,,"['C', 'D', 'K', 'N', 'B', 'I']",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'W': 0.015625, 'Ba': 0.0625, 'Ce': 0.03125}, Temperature: 748K",1.2195323705673218,1,3,,,,,,,,,,,,0.03125,,"['K', 'H']",,,,,,,,,,,,,,,,,,,,,0.0625,"['E', 'N', 'L', 'B']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015625,['O'],,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'In': 0.078125, 'Cu': 0.078125, 'Zr': 0.046875}, Temperature: 791K",1.3406691551208496,1,3,0.078125,,,"['D', 'K', 'M', 'I', 'A']",,,,,,,,,,,,,,,0.078125,0.046875,"['F', 'J', 'N', 'C', 'G']","['O', 'B', 'P']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Ba': 0.0625, 'Ca': 0.078125}, Temperature: 485K",1.0439984798431396,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,0.078125,"['E', 'C', 'L', 'K', 'O']",,,,,,,0.0625,"['I', 'N', 'M', 'B']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Nd': 0.09375, 'Si': 0.015625, 'Ba': 0.078125}, Temperature: 656K",1.0365240573883057,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015625,['J'],,,,,0.078125,"['L', 'N', 'P', 'G', 'O']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09375,"['E', 'I', 'H', 'A', 'C', 'M']",,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'S': 0.09375, 'Tl': 0.078125, 'Mo': 0.046875}, Temperature: 439K",1.0343221426010132,1,3,,,,,,,0.078125,,"['L', 'B', 'I', 'J', 'M']",,,,,,,,,,,,,,,,,,,,,,,,0.046875,"['F', 'E', 'K']",,,,,,,,,,,,,,0.09375,,"['H', 'G', 'N', 'P', 'C', 'A']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Ce': 0.203125, 'Ba': 0.046875}, Temperature: 612K",1.1836986541748047,1,3,,,,,,,,,,,,0.203125,,"['J', 'E', 'D', 'G', 'L', 'N', 'O', 'C', 'P', 'A', 'F', 'M', 'K']",,,,,,,,,,,,,,,,,,,,,0.046875,"['H', 'I', 'B']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'In': 0.109375, 'Pr': 0.03125}, Temperature: 492K",1.1328225135803223,1,3,0.109375,,,"['A', 'F', 'K', 'D', 'H', 'B', 'N']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03125,,"['O', 'M']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Tl': 0.140625, 'O': 0.046875, 'Na': 0.046875}, Temperature: 498K",1.0676727294921875,1,3,,,,,,,0.140625,,"['O', 'D', 'N', 'L', 'E', 'J', 'M', 'I', 'H']",,,,,,,,,,,,,,0.046875,"['C', 'P', 'A']",,,,,,,,,,,,,,,,,,,,,0.046875,"['K', 'B', 'F']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Zr': 0.15625, 'Ba': 0.078125, 'Zn': 0.015625}, Temperature: 408K",1.0086183547973633,1,3,,,,,,,,,,,,,,,,,,,,0.15625,,"['O', 'G', 'B', 'N', 'E', 'M', 'D', 'A', 'J', 'L']",,,,,,,,,,,,,0.078125,"['H', 'C', 'P', 'F', 'I']",,,,,,,,,,,,,,,,,,,,,,0.015625,,['K'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Ba': 0.03125, 'In': 0.0625}, Temperature: 427K",1.2295207977294922,1,3,0.0625,,,"['E', 'I', 'B', 'F']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03125,"['C', 'P']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Tl': 0.03125}, Temperature: 695K",1.0352190732955933,1,3,,,,,,,0.03125,,"['I', 'H']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Ca': 0.03125, 'As': 0.140625, 'Zn': 0.078125}, Temperature: 688K",1.002465844154358,1,3,,,0.140625,,,"['E', 'G', 'D', 'P', 'C', 'B', 'J', 'N', 'K']",,,,,,,,,,,,,,,,,,,,,0.03125,"['L', 'I']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.078125,,"['A', 'F', 'O', 'M', 'H']",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Yb': 0.078125, 'Zr': 0.125, 'Sn': 0.046875}, Temperature: 786K",1.097973346710205,1,3,,,,,,,,,,,,,,,,,,,,0.125,,"['D', 'M', 'G', 'P', 'H', 'J', 'N', 'A']",,,0.078125,"['F', 'C', 'E', 'K', 'B']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.046875,"['L', 'O', 'I']",,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Pr': 0.078125, 'In': 0.09375}, Temperature: 751K",1.1445307731628418,1,3,0.09375,,,"['M', 'O', 'C', 'K', 'B', 'E']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.078125,,"['L', 'D', 'N', 'P', 'G']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Ca': 0.0625, 'In': 0.140625, 'Mm': 0.03125}, Temperature: 578K",1.1413495540618896,1,3,0.140625,,,"['A', 'C', 'G', 'O', 'N', 'P', 'M', 'J', 'D']",,,,,,,,,,,,,,,,,,,,,,,0.0625,"['I', 'L', 'E', 'B']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03125,"['F', 'K']",,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Y': 0.203125, 'Ba': 0.03125}, Temperature: 367K",1.1780407428741455,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03125,"['K', 'G']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.203125,"['B', 'D', 'C', 'A', 'O', 'P', 'J', 'M', 'H', 'F', 'N', 'I', 'E']",,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'In': 0.03125, 'O': 0.0625, 'Zr': 0.140625}, Temperature: 497K",1.1580883264541626,1,3,0.03125,,,"['E', 'K']",,,,,,,,,,,,,,,,0.140625,,"['P', 'A', 'I', 'J', 'G', 'B', 'O', 'C', 'F']",,,,,,,,,,,,,,,,,,,,,,,0.0625,"['M', 'L', 'D', 'N']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Ba': 0.078125, 'W': 0.09375, 'La': 0.078125}, Temperature: 681K",1.326769471168518,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.078125,"['I', 'D', 'J', 'F', 'P']",,,,,,,,,,,,,,,,,,,0.078125,"['E', 'A', 'N', 'H', 'G']",,,,,,,,,,,,,,,0.09375,"['L', 'C', 'O', 'M', 'K', 'B']",,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Cu': 0.1875, 'Na': 0.046875, 'Ba': 0.015625}, Temperature: 743K",1.020011305809021,1,3,,,,,,,,,,,,,,,,,,,0.1875,,"['M', 'O', 'L', 'B', 'E', 'J', 'N', 'G', 'C', 'H', 'P', 'I']",,0.046875,"['K', 'D', 'A']",,,,,,,,,,,0.015625,['F'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
