prompt,predicted_fom,composition.Co,composition.Sb,composition.Dy,site_allocation.Dy,composition.Mg,composition.Pd,composition.Cl,site_allocation.Mg,site_allocation.Pd,site_allocation.Cl,composition.Cd,composition.Mn,composition.S,site_allocation.Cd,site_allocation.Mn,site_allocation.S,composition.As,site_allocation.As,composition.Mm,composition.Yb,composition.O,site_allocation.Mm,site_allocation.Yb,site_allocation.O,composition.Nd,site_allocation.Nd,composition.Eu,site_allocation.Eu,composition.K,site_allocation.K,composition.Zn,composition.G,site_allocation.Zn,site_allocation.G,composition.Te,site_allocation.Te,composition.Ti,site_allocation.Ti,composition.F,site_allocation.F,composition.Gd,site_allocation.Gd,composition.Ag,site_allocation.Ag,composition.Cu,site_allocation.Cu,composition.Pr,site_allocation.Pr,composition.Al,site_allocation.Al,composition.Si,composition.W,site_allocation.Si,site_allocation.W,composition.Ba,site_allocation.Ba,composition.Hf,site_allocation.Hf,composition.Bi,site_allocation.Bi,composition.Sn,site_allocation.Sn,composition.Ga,site_allocation.Ga,composition.Na,site_allocation.Na,composition.Li,site_allocation.Li,composition.C,site_allocation.C,composition.Ce,site_allocation.Ce,composition.Mo,site_allocation.Mo,composition.Sm,site_allocation.Sm,composition.La,site_allocation.La,composition.Y,site_allocation.Y,composition.Ni,site_allocation.Ni,composition.Sr,site_allocation.Sr,composition.Fe,site_allocation.Fe,composition.Tl,composition.Pb,site_allocation.Tl,site_allocation.Pb,composition.Zr,site_allocation.Zr
"Composition: {'Co': 1, 'Sb': 3, 'K': 0.125}, Temperature: 334K",0.11602696776390076,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,"['E', 'N', 'K', 'F', 'C', 'L', 'D', 'A']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'G': 0.21875}, Temperature: 731K",0.17569145560264587,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21875,,"['D', 'E', 'K', 'B', 'N', 'I', 'F', 'N', 'M', 'A', 'H', 'C', 'J', 'G']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Te': 0.21875}, Temperature: 373K",0.13551285862922668,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21875,"['L', 'O', 'N', 'C', 'F', 'H', 'B', 'D', 'M', 'N', 'E', 'A', 'G', 'J']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Ti': 0.21875}, Temperature: 702K",0.12753926217556,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21875,"['G', 'F', 'M', 'A', 'C', 'N', 'N', 'H', 'O', 'L', 'K', 'I', 'J', 'D']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Zn': 0.140625, 'Mg': 0.046875}, Temperature: 477K",0.2082260400056839,1,3,,,0.046875,,,"['D', 'C', 'B']",,,,,,,,,,,,,,,,,,,,,,,0.140625,,"['O', 'N', 'K', 'L', 'P', 'J', 'M', 'H', 'I']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Pd': 0.171875}, Temperature: 485K",0.2662617862224579,1,3,,,,0.171875,,,"['A', 'K', 'I', 'D', 'N', 'O', 'G', 'M', 'F', 'H', 'J']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'F': 0.03125}, Temperature: 344K",0.14559216797351837,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03125,"['L', 'J']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Gd': 0.0625, 'K': 0.0625}, Temperature: 321K",0.16972807049751282,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,"['N', 'C', 'G', 'F']",,,,,,,,,,,0.0625,"['D', 'L', 'P', 'A']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Ag': 0.046875}, Temperature: 421K",0.09888933598995209,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.046875,"['M', 'L', 'D']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Nd': 0.109375}, Temperature: 508K",0.14885331690311432,1,3,,,,,,,,,,,,,,,,,,,,,,,0.109375,"['B', 'J', 'N', 'D', 'A', 'I', 'N']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Cu': 0.21875}, Temperature: 796K",0.32010284066200256,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21875,"['D', 'M', 'F', 'B', 'H', 'C', 'E', 'A', 'N', 'J', 'O', 'P', 'I', 'G']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'F': 0.140625, 'Pr': 0.015625, 'Mn': 0.015625}, Temperature: 672K",0.44071733951568604,1,3,,,,,,,,,,0.015625,,,['M'],,,,,,,,,,,,,,,,,,,,,,,,0.140625,"['K', 'N', 'E', 'D', 'F', 'N', 'B', 'J', 'P']",,,,,,,0.015625,['H'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Ag': 0.15625}, Temperature: 529K",0.07172556221485138,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15625,"['B', 'F', 'L', 'H', 'E', 'G', 'C', 'P', 'O', 'M']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Al': 0.234375}, Temperature: 766K",0.17029768228530884,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.234375,"['E', 'N', 'J', 'O', 'A', 'N', 'C', 'P', 'H', 'B', 'M', 'I', 'L', 'D', 'G']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Si': 0.203125, 'Pr': 0.015625, 'W': 0.015625}, Temperature: 625K",0.4535437822341919,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015625,['P'],,,0.203125,0.015625,"['G', 'B', 'O', 'E', 'I', 'F', 'H', 'L', 'N', 'D', 'C', 'N', 'A']",['K'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Ba': 0.15625}, Temperature: 499K",0.48652350902557373,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15625,"['E', 'A', 'H', 'J', 'F', 'K', 'I', 'O', 'B', 'N']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Mn': 0.21875, 'Mg': 0.015625, 'Cu': 0.015625}, Temperature: 365K",0.1222839206457138,1,3,,,0.015625,,,['P'],,,,0.21875,,,"['L', 'K', 'B', 'F', 'H', 'I', 'N', 'M', 'O', 'G', 'J', 'N', 'D', 'C']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015625,['A'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Mm': 0.09375, 'W': 0.03125}, Temperature: 405K",0.1627873182296753,1,3,,,,,,,,,,,,,,,,,0.09375,,,"['O', 'A', 'E', 'C', 'P', 'D']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03125,,"['H', 'J']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Hf': 0.046875}, Temperature: 604K",0.18866030871868134,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.046875,"['E', 'M', 'A']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Bi': 0.234375}, Temperature: 378K",0.17129284143447876,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.234375,"['N', 'K', 'P', 'C', 'G', 'J', 'E', 'D', 'A', 'B', 'I', 'N', 'L', 'F', 'H']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'As': 0.140625, 'Sn': 0.015625}, Temperature: 706K",0.2818394601345062,1,3,,,,,,,,,,,,,,,0.140625,"['G', 'D', 'C', 'A', 'H', 'O', 'I', 'B', 'M']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015625,['E'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Zn': 0.203125}, Temperature: 566K",0.19608686864376068,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.203125,,"['K', 'J', 'O', 'N', 'M', 'G', 'B', 'P', 'E', 'A', 'D', 'L', 'H']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Ga': 0.171875}, Temperature: 789K",0.4520019590854645,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.171875,"['G', 'H', 'N', 'C', 'I', 'A', 'J', 'E', 'N', 'D', 'K']",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'W': 0.03125, 'Nd': 0.015625, 'Mn': 0.203125}, Temperature: 757K",0.2668581008911133,1,3,,,,,,,,,,0.203125,,,"['L', 'I', 'N', 'G', 'P', 'C', 'F', 'O', 'E', 'B', 'H', 'M', 'N']",,,,,,,,,,0.015625,['A'],,,,,,,,,,,,,,,,,,,,,,,,,,0.03125,,"['J', 'K']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Na': 0.03125, 'Mg': 0.0625, 'G': 0.15625}, Temperature: 492K",0.4401428997516632,1,3,,,0.0625,,,"['F', 'L', 'P', 'K']",,,,,,,,,,,,,,,,,,,,,,,,0.15625,,"['H', 'J', 'D', 'I', 'A', 'B', 'N', 'M', 'G', 'O']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03125,"['E', 'N']",,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Cl': 0.125, 'Li': 0.078125, 'Mm': 0.046875}, Temperature: 497K",0.423012375831604,1,3,,,,,0.125,,,"['N', 'A', 'H', 'B', 'F', 'M', 'N', 'I']",,,,,,,,,0.046875,,,"['O', 'P', 'C']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.078125,"['E', 'D', 'L', 'J', 'G']",,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Cl': 0.015625}, Temperature: 614K",0.16776327788829803,1,3,,,,,0.015625,,,['M'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Ti': 0.171875, 'Bi': 0.0625, 'C': 0.015625}, Temperature: 799K",0.484825074672699,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.171875,"['G', 'L', 'I', 'B', 'J', 'N', 'M', 'F', 'K', 'H', 'O']",,,,,,,,,,,,,,,,,,,,,0.0625,"['P', 'C', 'D', 'N']",,,,,,,,,0.015625,['E'],,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Na': 0.15625, 'Ce': 0.015625}, Temperature: 772K",0.25058385729789734,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15625,"['E', 'K', 'G', 'J', 'F', 'N', 'N', 'D', 'O', 'L']",,,,,0.015625,['C'],,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Cd': 0.234375, 'Yb': 0.015625}, Temperature: 412K",0.21251045167446136,1,3,,,,,,,,,0.234375,,,"['E', 'D', 'I', 'K', 'B', 'G', 'A', 'F', 'J', 'L', 'C', 'M', 'N', 'O', 'H']",,,,,,0.015625,,,['N'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Eu': 0.09375, 'Mo': 0.125}, Temperature: 622K",0.37864208221435547,1,3,,,,,,,,,,,,,,,,,,,,,,,,,0.09375,"['I', 'K', 'J', 'N', 'D', 'H']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,"['G', 'M', 'L', 'E', 'A', 'B', 'O', 'P']",,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'As': 0.046875, 'Zn': 0.125}, Temperature: 646K",0.17090240120887756,1,3,,,,,,,,,,,,,,,0.046875,"['O', 'J', 'F']",,,,,,,,,,,,,0.125,,"['A', 'N', 'N', 'K', 'L', 'E', 'B', 'D']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Hf': 0.140625, 'Pd': 0.09375}, Temperature: 649K",0.2036384493112564,1,3,,,,0.09375,,,"['M', 'O', 'L', 'A', 'B', 'P']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.140625,"['I', 'N', 'C', 'J', 'D', 'E', 'K', 'H', 'G']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Sm': 0.03125}, Temperature: 421K",0.2944110035896301,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03125,"['J', 'G']",,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'La': 0.15625, 'Cl': 0.09375}, Temperature: 383K",0.24452905356884003,1,3,,,,,0.09375,,,"['H', 'I', 'M', 'F', 'C', 'B']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15625,"['N', 'L', 'G', 'D', 'P', 'O', 'J', 'N', 'A', 'E']",,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'C': 0.015625}, Temperature: 481K",0.17741817235946655,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015625,['K'],,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Hf': 0.078125}, Temperature: 636K",0.14888909459114075,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.078125,"['N', 'C', 'P', 'A', 'O']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Y': 0.03125}, Temperature: 539K",0.11601142585277557,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03125,"['A', 'G']",,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'F': 0.046875}, Temperature: 490K",0.13427795469760895,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.046875,"['K', 'N', 'E']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'La': 0.03125}, Temperature: 554K",0.2666627764701843,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03125,"['A', 'G']",,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'C': 0.125}, Temperature: 550K",0.12028564512729645,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,"['D', 'M', 'K', 'C', 'O', 'B', 'L', 'N']",,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'As': 0.15625}, Temperature: 606K",0.1504618227481842,1,3,,,,,,,,,,,,,,,0.15625,"['A', 'N', 'J', 'E', 'B', 'F', 'P', 'N', 'K', 'G']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Hf': 0.21875}, Temperature: 511K",0.08618977665901184,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21875,"['I', 'O', 'L', 'D', 'P', 'N', 'M', 'K', 'C', 'N', 'A', 'E', 'F', 'B']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Sn': 0.203125, 'Cd': 0.03125}, Temperature: 722K",0.4995373785495758,1,3,,,,,,,,,0.03125,,,"['A', 'F']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.203125,"['O', 'L', 'M', 'N', 'D', 'I', 'N', 'J', 'H', 'C', 'B', 'K', 'P']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Si': 0.15625}, Temperature: 625K",0.18703635036945343,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15625,,"['J', 'D', 'A', 'N', 'O', 'P', 'C', 'K', 'E', 'F']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'G': 0.109375, 'Ni': 0.125}, Temperature: 613K",0.22591683268547058,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.109375,,"['G', 'P', 'E', 'A', 'K', 'L', 'F']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,"['B', 'D', 'O', 'N', 'C', 'I', 'H', 'J']",,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Al': 0.046875, 'Dy': 0.09375}, Temperature: 730K",0.20773813128471375,1,3,0.09375,"['H', 'G', 'D', 'F', 'O', 'I']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.046875,"['L', 'P', 'A']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Cd': 0.046875, 'Hf': 0.09375}, Temperature: 620K",0.2613253593444824,1,3,,,,,,,,,0.046875,,,"['G', 'H', 'B']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09375,"['P', 'N', 'M', 'A', 'L', 'E']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Ag': 0.1875, 'Sr': 0.015625, 'C': 0.046875}, Temperature: 329K",0.15101563930511475,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1875,"['P', 'B', 'N', 'C', 'F', 'O', 'J', 'E', 'L', 'G', 'N', 'A']",,,,,,,,,,,,,,,,,,,,,,,,,0.046875,"['K', 'H', 'M']",,,,,,,,,,,,,0.015625,['D'],,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Eu': 0.171875}, Temperature: 505K",0.15557798743247986,1,3,,,,,,,,,,,,,,,,,,,,,,,,,0.171875,"['L', 'E', 'H', 'C', 'N', 'F', 'O', 'P', 'D', 'A', 'J']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Ce': 0.09375, 'Bi': 0.03125, 'O': 0.09375}, Temperature: 544K",0.47790682315826416,1,3,,,,,,,,,,,,,,,,,,,0.09375,,,"['A', 'E', 'L', 'I', 'M', 'F']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03125,"['P', 'K']",,,,,,,,,,,0.09375,"['N', 'G', 'C', 'D', 'B', 'H']",,,,,,,,,,,,,,,,,,,,
